site	sample	technology	lanes	depth	percent	type	value
HanXRQChr00c0001.9816	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	5	0.712744915992553	within_lane	0
HanXRQChr00c0001.9816	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	5	0.712744915992553	control	1
HanXRQChr00c0001.11500	QPA3_SK1A-22.sort.bam	X10	3570_3	6	0.423218412124888	within_lane	0
HanXRQChr00c0001.11500	QPA3_SK1A-22.sort.bam	X10	3570_3	6	0.423218412124888	control	0
HanXRQChr00c0001.11500	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	5	0.650455411768868	within_lane	0
HanXRQChr00c0001.11500	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	5	0.650455411768868	control	1
HanXRQChr00c0001.12411	Q079_KS1A-15.sort.bam	X10	3577_7;3564_7	5	0.569753729036574	within_lane	1
HanXRQChr00c0001.12411	Q079_KS1A-15.sort.bam	X10	3577_7;3564_7	5	0.569753729036574	control	0
HanXRQChr00c0001.20187	QPF4_KS1W-9.sort.bam	X10	3577_5;3564_5	5	0.668261896268219	within_lane	0
HanXRQChr00c0001.20187	QPF4_KS1W-9.sort.bam	X10	3577_5;3564_5	5	0.668261896268219	control	1
HanXRQChr00c0001.20187	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	12	0.641867271417751	within_lane	0
HanXRQChr00c0001.20187	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	12	0.641867271417751	control	1
HanXRQChr00c0001.20364	Q090_MK4-5.sort.bam	X10	3579_1;3564_8	7	0.545449930652393	within_lane	0
HanXRQChr00c0001.20364	Q090_MK4-5.sort.bam	X10	3579_1;3564_8	7	0.545449930652393	control	0
HanXRQChr00c0001.32381	HT314_MO1A-31.sort.bam	X10	3577_2;3564_2	8	0.171785746340549	within_lane	0
HanXRQChr00c0001.32381	HT314_MO1A-31.sort.bam	X10	3577_2;3564_2	8	0.171785746340549	control	0
HanXRQChr00c0001.32424	HT340_IA1A-4.sort.bam	X10	3577_3;3564_3	5	0.136999943609162	within_lane	0
HanXRQChr00c0001.32424	HT340_IA1A-4.sort.bam	X10	3577_3;3564_3	5	0.136999943609162	control	0
HanXRQChr00c0001.33241	HT344_KS1A-25.sort.bam	X10	3577_3;3564_3	12	0.55073022041531	within_lane	0
HanXRQChr00c0001.33241	HT344_KS1A-25.sort.bam	X10	3577_3;3564_3	12	0.55073022041531	control	0
HanXRQChr00c0001.33429	HT349_MK7-28.sort.bam	X10	3570_7	13	0.651086668094705	within_lane	0
HanXRQChr00c0001.33429	HT349_MK7-28.sort.bam	X10	3570_7	13	0.651086668094705	control	1
HanXRQChr00c0001.33429	Q081_KS2A-6.sort.bam	X10	3577_7;3564_7	10	0.651086668094705	within_lane	0
HanXRQChr00c0001.33429	Q081_KS2A-6.sort.bam	X10	3577_7;3564_7	10	0.651086668094705	control	1
HanXRQChr00c0001.33429	HT142_MO1W-15.sort.bam	HiSeq2500	3392_8	5	0.651086668094705	within_lane	0
HanXRQChr00c0001.33429	HT142_MO1W-15.sort.bam	HiSeq2500	3392_8	5	0.651086668094705	control	1
HanXRQChr00c0001.33429	HT111_MK6-23.sort.bam	X10	3577_4;3564_4	12	0.651086668094705	within_lane	1
HanXRQChr00c0001.33429	HT111_MK6-23.sort.bam	X10	3577_4;3564_4	12	0.651086668094705	control	1
HanXRQChr00c0001.33450	QPD5_MK4-9.sort.bam	X10	3577_5;3564_5	8	0.1596311668326	within_lane	0
HanXRQChr00c0001.33450	QPD5_MK4-9.sort.bam	X10	3577_5;3564_5	8	0.1596311668326	control	0
HanXRQChr00c0001.33467	Q093_MK7-13.sort.bam	X10	3579_1;3564_8	8	0.0685437052320617	within_lane	0
HanXRQChr00c0001.33467	Q093_MK7-13.sort.bam	X10	3579_1;3564_8	8	0.0685437052320617	control	0
HanXRQChr00c0001.33467	HT237_MO1W-38.sort.bam	X10	3577_4;3564_4	6	0.0685437052320617	within_lane	0
HanXRQChr00c0001.33467	HT237_MO1W-38.sort.bam	X10	3577_4;3564_4	6	0.0685437052320617	control	0
HanXRQChr00c0001.33556	HT270_IA1W_11R.sort.bam	X10	3577_1;3564_1	8	0.316424123538631	within_lane	1
HanXRQChr00c0001.33556	HT270_IA1W_11R.sort.bam	X10	3577_1;3564_1	8	0.316424123538631	control	0
HanXRQChr00c0001.33563	HT365_IA2W-11.sort.bam	X10	3570_7	6	0.294977488467459	within_lane	0
HanXRQChr00c0001.33563	HT365_IA2W-11.sort.bam	X10	3570_7	6	0.294977488467459	control	0
HanXRQChr00c0001.33587	QPE2_KS1W-26.sort.bam	X10	3570_2	7	0.191860217795876	within_lane	0
HanXRQChr00c0001.33587	QPE2_KS1W-26.sort.bam	X10	3570_2	7	0.191860217795876	control	1
HanXRQChr00c0001.33622	HT139_MO1A-26.sort.bam	X10	3563_7	6	0.397745873316694	within_lane	1
HanXRQChr00c0001.33622	HT139_MO1A-26.sort.bam	X10	3563_7	6	0.397745873316694	control	0
HanXRQChr00c0001.33622	HT136_MK7-1.sort.bam	HiSeq2500	3441_7;3392_8	6	0.815527083073311	within_lane	1
HanXRQChr00c0001.33622	HT136_MK7-1.sort.bam	HiSeq2500	3441_7;3392_8	6	0.815527083073311	control	1
HanXRQChr00c0001.33624	HT330_ND1W-6.sort.bam	X10	3577_3;3564_3	9	0.277932765380088	within_lane	1
HanXRQChr00c0001.33624	HT330_ND1W-6.sort.bam	X10	3577_3;3564_3	9	0.277932765380088	control	0
HanXRQChr00c0001.33624	HT345_KS1W-2.sort.bam	X10	3577_3;3564_3	7	0.251109757610435	within_lane	0
HanXRQChr00c0001.33624	HT345_KS1W-2.sort.bam	X10	3577_3;3564_3	7	0.251109757610435	control	0
HanXRQChr00c0001.33629	HT352_MO1W-33.sort.bam	X10	3570_7	6	0.378811903234288	within_lane	0
HanXRQChr00c0001.33629	HT352_MO1W-33.sort.bam	X10	3570_7	6	0.378811903234288	control	1
HanXRQChr00c0001.33629	HT274_KS1W-3.sort.bam	X10	3570_5	8	0.378811903234288	within_lane	0
HanXRQChr00c0001.33629	HT274_KS1W-3.sort.bam	X10	3570_5	8	0.378811903234288	control	0
HanXRQChr00c0001.33742	HT274_KS1W-3.sort.bam	X10	3570_5	5	0.451218857676712	within_lane	1
HanXRQChr00c0001.33742	HT274_KS1W-3.sort.bam	X10	3570_5	5	0.451218857676712	control	0
HanXRQChr00c0001.33742	HT345_KS1W-2.sort.bam	X10	3577_3;3564_3	12	0.451218857676712	within_lane	0
HanXRQChr00c0001.33742	HT345_KS1W-2.sort.bam	X10	3577_3;3564_3	12	0.451218857676712	control	1
HanXRQChr00c0001.33742	HT317_IA1W-4.sort.bam	X10	3577_2;3564_2	7	0.42990958760877	within_lane	0
HanXRQChr00c0001.33742	HT317_IA1W-4.sort.bam	X10	3577_2;3564_2	7	0.42990958760877	control	0
HanXRQChr00c0001.33742	HT270_IA1W_11R.sort.bam	X10	3577_1;3564_1	8	0.42990958760877	within_lane	1
HanXRQChr00c0001.33742	HT270_IA1W_11R.sort.bam	X10	3577_1;3564_1	8	0.42990958760877	control	0
HanXRQChr00c0001.33742	HT231_MB1W-8.sort.bam	HiSeq2500	3393_7	6	0.451218857676712	within_lane	0
HanXRQChr00c0001.33742	HT231_MB1W-8.sort.bam	HiSeq2500	3393_7	6	0.451218857676712	control	1
HanXRQChr00c0001.33826	HT260_MK1-4.sort.bam	X10	3577_1;3564_1	11	0.83716879698564	within_lane	1
HanXRQChr00c0001.33826	HT260_MK1-4.sort.bam	X10	3577_1;3564_1	11	0.83716879698564	control	1
HanXRQChr00c0001.33826	HT244_IA1A-25.sort.bam	X10	3563_8	5	0.83716879698564	within_lane	0
HanXRQChr00c0001.33826	HT244_IA1A-25.sort.bam	X10	3563_8	5	0.83716879698564	control	0
HanXRQChr00c0001.33826	HT199_MK1-14.sort.bam	HiSeq2500	3393_4	6	0.83716879698564	within_lane	1
HanXRQChr00c0001.33826	HT199_MK1-14.sort.bam	HiSeq2500	3393_4	6	0.83716879698564	control	1
HanXRQChr00c0001.33826	HT273_KS1A-31.sort.bam	X10	3577_1;3564_1	5	0.83716879698564	within_lane	1
HanXRQChr00c0001.33826	HT273_KS1A-31.sort.bam	X10	3577_1;3564_1	5	0.83716879698564	control	1
HanXRQChr00c0001.33826	HT318_IA2A-11.sort.bam	X10	3577_2;3564_2	7	0.83716879698564	within_lane	1
HanXRQChr00c0001.33826	HT318_IA2A-11.sort.bam	X10	3577_2;3564_2	7	0.83716879698564	control	1
HanXRQChr00c0001.33826	HT315_IA1A-24.sort.bam	X10	3577_2;3564_2	5	0.843659531963551	within_lane	1
HanXRQChr00c0001.33826	HT315_IA1A-24.sort.bam	X10	3577_2;3564_2	5	0.843659531963551	control	1
HanXRQChr00c0001.33826	QPD2_KS1W-32.sort.bam	X10	3577_5;3564_5	8	0.83716879698564	within_lane	1
HanXRQChr00c0001.33826	QPD2_KS1W-32.sort.bam	X10	3577_5;3564_5	8	0.83716879698564	control	1
HanXRQChr00c0001.33849	HT30_IA2A-31R.sort.bam	HiSeq2500	3441_5;3392_1	8	0.71428157600015	within_lane	0
HanXRQChr00c0001.33849	HT30_IA2A-31R.sort.bam	HiSeq2500	3441_5;3392_1	8	0.71428157600015	control	1
HanXRQChr00c0001.33849	HT319_IA2A-31.sort.bam	X10	3577_2;3564_2	8	0.348272200999041	within_lane	0
HanXRQChr00c0001.33849	HT319_IA2A-31.sort.bam	X10	3577_2;3564_2	8	0.348272200999041	control	0
HanXRQChr00c0001.33902	HT345_KS1W-2.sort.bam	X10	3577_3;3564_3	18	0.342048144953958	within_lane	0
HanXRQChr00c0001.33902	HT345_KS1W-2.sort.bam	X10	3577_3;3564_3	18	0.342048144953958	control	0
HanXRQChr00c0001.33902	HT168_SD2A-17.sort.bam	HiSeq2500	3393_2	5	0.318435206970868	within_lane	0
HanXRQChr00c0001.33902	HT168_SD2A-17.sort.bam	HiSeq2500	3393_2	5	0.318435206970868	control	0
HanXRQChr00c0001.33932	HT196_SK1W-1.sort.bam	HiSeq2500	3441_7;3393_4	5	0.559182953474295	within_lane	0
HanXRQChr00c0001.33932	HT196_SK1W-1.sort.bam	HiSeq2500	3441_7;3393_4	5	0.559182953474295	control	1
HanXRQChr00c0001.33932	HT323_KS2A-23.sort.bam	X10	3577_3;3564_3	11	0.217872575695221	within_lane	0
HanXRQChr00c0001.33932	HT323_KS2A-23.sort.bam	X10	3577_3;3564_3	11	0.217872575695221	control	0
HanXRQChr00c0001.33932	HT111_MK6-23.sort.bam	X10	3577_4;3564_4	10	0.217872575695221	within_lane	1
HanXRQChr00c0001.33932	HT111_MK6-23.sort.bam	X10	3577_4;3564_4	10	0.217872575695221	control	0
HanXRQChr00c0001.33932	HT369_MO1A-6.sort.bam	X10	3570_8	8	0.193326526157111	within_lane	0
HanXRQChr00c0001.33932	HT369_MO1A-6.sort.bam	X10	3570_8	8	0.193326526157111	control	0
HanXRQChr00c0001.33936	HT350_MK8-14.sort.bam	X10	3570_7	5	0.463613086723697	within_lane	0
HanXRQChr00c0001.33936	HT350_MK8-14.sort.bam	X10	3570_7	5	0.463613086723697	control	0
HanXRQChr00c0001.33936	HT41_MK7-20.sort.bam	HiSeq2500	3441_6;3392_2	5	0.882995491296964	within_lane	0
HanXRQChr00c0001.33936	HT41_MK7-20.sort.bam	HiSeq2500	3441_6;3392_2	5	0.882995491296964	control	1
HanXRQChr00c0001.33936	HT32_IA2A-35R.sort.bam	HiSeq2500	3392_1	5	0.425174330044255	within_lane	0
HanXRQChr00c0001.33936	HT32_IA2A-35R.sort.bam	HiSeq2500	3392_1	5	0.425174330044255	control	0
HanXRQChr00c0001.33936	HT156_MK4-13.sort.bam	HiSeq2500	3393_1	5	0.480359262225591	within_lane	0
HanXRQChr00c0001.33936	HT156_MK4-13.sort.bam	HiSeq2500	3393_1	5	0.480359262225591	control	1
HanXRQChr00c0001.33936	HT43_ND1A-21.sort.bam	HiSeq2500	3392_2	7	0.480359262225591	within_lane	1
HanXRQChr00c0001.33936	HT43_ND1A-21.sort.bam	HiSeq2500	3392_2	7	0.480359262225591	control	0
HanXRQChr00c0001.33936	Q097_SD1W-6.sort.bam	X10	3570_1	10	0.480359262225591	within_lane	1
HanXRQChr00c0001.33936	Q097_SD1W-6.sort.bam	X10	3570_1	10	0.480359262225591	control	0
HanXRQChr00c0001.33936	HT317_IA1W-4.sort.bam	X10	3577_2;3564_2	7	0.480359262225591	within_lane	1
HanXRQChr00c0001.33936	HT317_IA1W-4.sort.bam	X10	3577_2;3564_2	7	0.480359262225591	control	0
HanXRQChr00c0001.33936	HT250_KS1A-14R.sort.bam	X10	3577_5;3564_5	5	0.463613086723697	within_lane	0
HanXRQChr00c0001.33936	HT250_KS1A-14R.sort.bam	X10	3577_5;3564_5	5	0.463613086723697	control	0
HanXRQChr00c0001.33936	HT92_MK7-2.sort.bam	HiSeq2500	3392_4	5	0.441154542640416	within_lane	1
HanXRQChr00c0001.33936	HT92_MK7-2.sort.bam	HiSeq2500	3392_4	5	0.441154542640416	control	0
HanXRQChr00c0001.33983	Q084_KS2W-32.sort.bam	X10	3579_1;3564_8	7	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	Q084_KS2W-32.sort.bam	X10	3579_1;3564_8	7	0.948537978411176	control	1
HanXRQChr00c0001.33983	HT154_MK3-33.sort.bam	HiSeq2500	3393_1	5	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	HT154_MK3-33.sort.bam	HiSeq2500	3393_1	5	0.948537978411176	control	1
HanXRQChr00c0001.33983	HT373_SD1W-4.sort.bam	X10	3570_8	11	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	HT373_SD1W-4.sort.bam	X10	3570_8	11	0.948537978411176	control	1
HanXRQChr00c0001.33983	HT378_SK1W-22.sort.bam	X10	3570_8	5	0.946723634856766	within_lane	1
HanXRQChr00c0001.33983	HT378_SK1W-22.sort.bam	X10	3570_8	5	0.946723634856766	control	1
HanXRQChr00c0001.33983	Q046_KS2W-24.sort.bam	X10	3577_6;3564_6	14	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	Q046_KS2W-24.sort.bam	X10	3577_6;3564_6	14	0.948537978411176	control	1
HanXRQChr00c0001.33983	HT43_ND1A-21.sort.bam	HiSeq2500	3392_2	8	0.946723634856766	within_lane	1
HanXRQChr00c0001.33983	HT43_ND1A-21.sort.bam	HiSeq2500	3392_2	8	0.946723634856766	control	1
HanXRQChr00c0001.33983	HT038_MK1-31.sort.bam	X10	3577_4;3564_4	11	0.946723634856766	within_lane	1
HanXRQChr00c0001.33983	HT038_MK1-31.sort.bam	X10	3577_4;3564_4	11	0.946723634856766	control	1
HanXRQChr00c0001.33983	HT366_Man-1.sort.bam	X10	3570_7	5	0.946723634856766	within_lane	1
HanXRQChr00c0001.33983	HT366_Man-1.sort.bam	X10	3570_7	5	0.946723634856766	control	1
HanXRQChr00c0001.33983	HT353_ND1A-11.sort.bam	X10	3570_7	10	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	HT353_ND1A-11.sort.bam	X10	3570_7	10	0.948537978411176	control	0
HanXRQChr00c0001.33983	HT314_MO1A-31.sort.bam	X10	3577_2;3564_2	11	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	HT314_MO1A-31.sort.bam	X10	3577_2;3564_2	11	0.948537978411176	control	1
HanXRQChr00c0001.33983	HT290_SD1W-20.sort.bam	X10	3570_5	15	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	HT290_SD1W-20.sort.bam	X10	3570_5	15	0.948537978411176	control	1
HanXRQChr00c0001.33983	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	7	0.928442530975291	within_lane	1
HanXRQChr00c0001.33983	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	7	0.928442530975291	control	1
HanXRQChr00c0001.33983	HT149_IA2W-29.sort.bam	HiSeq2500	3392_8	5	0.946723634856766	within_lane	1
HanXRQChr00c0001.33983	HT149_IA2W-29.sort.bam	HiSeq2500	3392_8	5	0.946723634856766	control	1
HanXRQChr00c0001.33983	HT257_KS2A-31.sort.bam	X10	3563_8	18	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	HT257_KS2A-31.sort.bam	X10	3563_8	18	0.948537978411176	control	1
HanXRQChr00c0001.33983	HT231_MB1W-8.sort.bam	HiSeq2500	3393_7	8	0.948537978411176	within_lane	1
HanXRQChr00c0001.33983	HT231_MB1W-8.sort.bam	HiSeq2500	3393_7	8	0.948537978411176	control	1
HanXRQChr00c0001.34002	HT170_SD2W-14.sort.bam	HiSeq2500	3441_5;3393_2	6	0.857559317966417	within_lane	0
HanXRQChr00c0001.34002	HT170_SD2W-14.sort.bam	HiSeq2500	3441_5;3393_2	6	0.857559317966417	control	1
HanXRQChr00c0001.34002	HT283_P-19.sort.bam	X10	3570_5	8	0.449033328040757	within_lane	0
HanXRQChr00c0001.34002	HT283_P-19.sort.bam	X10	3570_5	8	0.449033328040757	control	0
HanXRQChr00c0001.34002	HT197_Man-10.sort.bam	X10	3563_7	5	0.465492504211625	within_lane	1
HanXRQChr00c0001.34002	HT197_Man-10.sort.bam	X10	3563_7	5	0.465492504211625	control	0
HanXRQChr00c0001.34002	HT41_MK7-20.sort.bam	HiSeq2500	3441_6;3392_2	5	0.871672250492322	within_lane	1
HanXRQChr00c0001.34002	HT41_MK7-20.sort.bam	HiSeq2500	3441_6;3392_2	5	0.871672250492322	control	1
HanXRQChr00c0001.34002	HT32_IA2A-35R.sort.bam	HiSeq2500	3392_1	6	0.426964990993194	within_lane	0
HanXRQChr00c0001.34002	HT32_IA2A-35R.sort.bam	HiSeq2500	3392_1	6	0.426964990993194	control	0
HanXRQChr00c0001.34002	HT156_MK4-13.sort.bam	HiSeq2500	3393_1	6	0.465492504211625	within_lane	0
HanXRQChr00c0001.34002	HT156_MK4-13.sort.bam	HiSeq2500	3393_1	6	0.465492504211625	control	0
HanXRQChr00c0001.34002	HT291_KS1A-14.sort.bam	X10	3570_6	5	0.465492504211625	within_lane	0
HanXRQChr00c0001.34002	HT291_KS1A-14.sort.bam	X10	3570_6	5	0.465492504211625	control	0
HanXRQChr00c0001.34002	HT16_MK6-7.sort.bam	HiSeq2500	3392_1	5	0.426964990993194	within_lane	0
HanXRQChr00c0001.34002	HT16_MK6-7.sort.bam	HiSeq2500	3392_1	5	0.426964990993194	control	0
HanXRQChr00c0001.34002	HT99_SK1A-39.sort.bam	HiSeq2500	3392_5	5	0.411306580218722	within_lane	0
HanXRQChr00c0001.34002	HT99_SK1A-39.sort.bam	HiSeq2500	3392_5	5	0.411306580218722	control	0
HanXRQChr00c0001.34002	Q097_SD1W-6.sort.bam	X10	3570_1	9	0.465492504211625	within_lane	1
HanXRQChr00c0001.34002	Q097_SD1W-6.sort.bam	X10	3570_1	9	0.465492504211625	control	1
HanXRQChr00c0001.34002	HT317_IA1W-4.sort.bam	X10	3577_2;3564_2	12	0.465492504211625	within_lane	1
HanXRQChr00c0001.34002	HT317_IA1W-4.sort.bam	X10	3577_2;3564_2	12	0.465492504211625	control	0
HanXRQChr00c0001.34002	Q091_MK4-13R.sort.bam	X10	3579_1;3564_8	5	0.465492504211625	within_lane	0
HanXRQChr00c0001.34002	Q091_MK4-13R.sort.bam	X10	3579_1;3564_8	5	0.465492504211625	control	0
HanXRQChr00c0001.34002	HT250_KS1A-14R.sort.bam	X10	3577_5;3564_5	5	0.449033328040757	within_lane	1
HanXRQChr00c0001.34002	HT250_KS1A-14R.sort.bam	X10	3577_5;3564_5	5	0.449033328040757	control	0
HanXRQChr00c0001.34002	HT92_MK7-2.sort.bam	HiSeq2500	3392_4	6	0.426964990993194	within_lane	0
HanXRQChr00c0001.34002	HT92_MK7-2.sort.bam	HiSeq2500	3392_4	6	0.426964990993194	control	0
HanXRQChr00c0001.34003	HT154_MK3-33.sort.bam	HiSeq2500	3393_1	5	0.35930383793099	within_lane	1
HanXRQChr00c0001.34003	HT154_MK3-33.sort.bam	HiSeq2500	3393_1	5	0.35930383793099	control	0
HanXRQChr00c0001.34003	HT196_SK1W-1.sort.bam	HiSeq2500	3441_7;3393_4	9	0.773270998779274	within_lane	1
HanXRQChr00c0001.34003	HT196_SK1W-1.sort.bam	HiSeq2500	3441_7;3393_4	9	0.773270998779274	control	1
HanXRQChr00c0001.34020	HT368_MK1-24.sort.bam	X10	3570_7	6	0.111333460340916	within_lane	1
HanXRQChr00c0001.34020	HT368_MK1-24.sort.bam	X10	3570_7	6	0.111333460340916	control	0
HanXRQChr00c0001.34020	HT284_P-45.sort.bam	X10	3570_5	12	0.111333460340916	within_lane	0
HanXRQChr00c0001.34020	HT284_P-45.sort.bam	X10	3570_5	12	0.111333460340916	control	0
HanXRQChr00c0001.34020	HT273_KS1A-31.sort.bam	X10	3577_1;3564_1	11	0.111333460340916	within_lane	0
HanXRQChr00c0001.34020	HT273_KS1A-31.sort.bam	X10	3577_1;3564_1	11	0.111333460340916	control	1
HanXRQChr00c0001.34023	HT100_SK1W-29.sort.bam	HiSeq2500	3392_5	5	0.946476804239298	within_lane	1
HanXRQChr00c0001.34023	HT100_SK1W-29.sort.bam	HiSeq2500	3392_5	5	0.946476804239298	control	1
HanXRQChr00c0001.34023	HT16_MK6-7.sort.bam	HiSeq2500	3392_1	5	0.944765915855621	within_lane	1
HanXRQChr00c0001.34023	HT16_MK6-7.sort.bam	HiSeq2500	3392_1	5	0.944765915855621	control	1
HanXRQChr00c0001.34023	HT78_MK1-17.sort.bam	HiSeq2500	3392_4	5	0.946476804239298	within_lane	0
HanXRQChr00c0001.34023	HT78_MK1-17.sort.bam	HiSeq2500	3392_4	5	0.946476804239298	control	1
HanXRQChr00c0001.34023	HT99_SK1A-39.sort.bam	HiSeq2500	3392_5	5	0.944765915855621	within_lane	1
HanXRQChr00c0001.34023	HT99_SK1A-39.sort.bam	HiSeq2500	3392_5	5	0.944765915855621	control	1
HanXRQChr00c0001.34023	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	9	0.946476804239298	within_lane	0
HanXRQChr00c0001.34023	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	9	0.946476804239298	control	1
HanXRQChr00c0001.34023	HT92_MK7-2.sort.bam	HiSeq2500	3392_4	6	0.946476804239298	within_lane	0
HanXRQChr00c0001.34023	HT92_MK7-2.sort.bam	HiSeq2500	3392_4	6	0.946476804239298	control	1
HanXRQChr00c0001.34042	HT118_SD2W-19.sort.bam	HiSeq2500	3441_7;3392_6	5	0.598661807475343	within_lane	0
HanXRQChr00c0001.34042	HT118_SD2W-19.sort.bam	HiSeq2500	3441_7;3392_6	5	0.598661807475343	control	1
HanXRQChr00c0001.34042	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	6	0.21608411646402	within_lane	0
HanXRQChr00c0001.34042	HT9_MK6-20.sort.bam	HiSeq2500	3392_4	6	0.21608411646402	control	0
HanXRQChr00c0001.34042	HT231_MB1W-8.sort.bam	HiSeq2500	3393_7	6	0.239580671833169	within_lane	0
HanXRQChr00c0001.34042	HT231_MB1W-8.sort.bam	HiSeq2500	3393_7	6	0.239580671833169	control	0
HanXRQChr00c0001.34046	QPG1_SD1W-15.sort.bam	X10	3570_3	8	0.0524468583751753	within_lane	0
HanXRQChr00c0001.34046	QPG1_SD1W-15.sort.bam	X10	3570_3	8	0.0524468583751753	control	0
HanXRQChr00c0001.34046	Q027_SD1A-4.sort.bam	X10	3577_6;3564_6	8	0.114154372835811	within_lane	0
HanXRQChr00c0001.34046	Q027_SD1A-4.sort.bam	X10	3577_6;3564_6	8	0.114154372835811	control	0
HanXRQChr00c0001.34046	HT257_KS2A-31.sort.bam	X10	3563_8	15	0.114154372835811	within_lane	1
HanXRQChr00c0001.34046	HT257_KS2A-31.sort.bam	X10	3563_8	15	0.114154372835811	control	0
HanXRQChr00c0001.34083	HT185_MK8-2.sort.bam	HiSeq2500	3441_7;3393_3	6	0.649563807544789	within_lane	0
HanXRQChr00c0001.34083	HT185_MK8-2.sort.bam	HiSeq2500	3441_7;3393_3	6	0.649563807544789	control	1
HanXRQChr00c0001.34083	HT244_IA1A-25.sort.bam	X10	3563_8	5	0.294977488467459	within_lane	0
HanXRQChr00c0001.34083	HT244_IA1A-25.sort.bam	X10	3563_8	5	0.294977488467459	control	0
HanXRQChr00c0001.34083	HT054_IA2A-1.sort.bam	X10	3577_4;3564_4	6	0.317259025268944	within_lane	1
HanXRQChr00c0001.34083	HT054_IA2A-1.sort.bam	X10	3577_4;3564_4	6	0.317259025268944	control	0
HanXRQChr00c0001.34083	HT374_SD2A-36.sort.bam	X10	3570_8	7	0.317259025268944	within_lane	0
HanXRQChr00c0001.34083	HT374_SD2A-36.sort.bam	X10	3570_8	7	0.317259025268944	control	0
HanXRQChr00c0001.34083	HT331_P-10.sort.bam	X10	3577_3;3564_3	6	0.294977488467459	within_lane	0
HanXRQChr00c0001.34083	HT331_P-10.sort.bam	X10	3577_3;3564_3	6	0.294977488467459	control	0
HanXRQChr00c0001.34083	Q083_KS2W-14.sort.bam	X10	3577_7;3564_7	6	0.317259025268944	within_lane	0
